timestep	time	weight	P	Q	Qfitted	Qresidual
1766	1766	1	3.8	9.88968219027748e-05	-0.000619182568534436	0.000718079390437211
1767	1767	1	0	0.000104639218013259	-0.000646719751849772	0.00075135896986303
1768	1768	1	0	0.000111657702148294	-0.000692608075020887	0.000804265777169182
1769	1769	1	0	0.000112933790172846	-0.000689901348831093	0.000802835139003939
1770	1770	1	0	0.000107191394062362	-0.000671510261282996	0.000778701655345358
1771	1771	1	0	0.000102087041964155	-0.000654591043781196	0.000756678085745351
1772	1772	1	7.6	0.000102087041964155	-0.000646552162756963	0.000748639204721117
1773	1773	1	0	0.000100172909927327	-0.000668205408027094	0.00076837831795442
1774	1774	1	0	9.69826898659469e-05	-0.000662416197512567	0.000759398887378514
1775	1775	1	0	9.82587778904989e-05	-0.000606865830928315	0.000705124608818814
1776	1776	1	0	8.54978976449796e-05	-0.000515045764555348	0.000600543662200327
1777	1777	1	0	5.16177605931257e-05	-0.000411490853616814	0.000463108614209939
1778	1778	1	0	4.23661224151242e-05	-0.00024327745090345	0.000285643573318574
1779	1779	1	0	3.67513351070957e-05	-6.89094962959936e-05	0.000105660831403089
1780	1780	1	0	3.26678534285295e-05	1.73137488497959e-05	1.53541045787336e-05
1781	1781	1	0	3.796361873042e-05	3.74476641809466e-05	5.15954549473452e-07
1782	1782	1	0	4.47906896617729e-05	-4.73613054286847e-06	4.95268202046413e-05
1783	1783	1	0	5.16815649943533e-05	-9.30016286375723e-05	0.000144683193631926
1784	1784	1	0	5.8062005117113e-05	-0.000176119303492865	0.000234181308609978
1785	1785	1	0	6.11884207772652e-05	-0.000268196940284319	0.000329385361061585
1786	1786	1	0	6.38044012275967e-05	-0.000356190193296036	0.000419994594523632
1787	1787	1	0	6.63565772767006e-05	-0.000490761944414107	0.000557118521690808
1788	1788	1	0	6.89087533258044e-05	-0.000625930161490661	0.000694838914816465
1789	1789	1	0	7.20989733871842e-05	-0.000753663195404199	0.000825762168791383
1790	1790	1	0	7.46511494362881e-05	-0.000855392654681407	0.000930043804117695
1791	1791	1	0	7.7203325485392e-05	-0.000922750329523387	0.000999953655008779
1792	1792	0		7.84794135099439e-05		
1793	1793	0	0	7.27370173994602e-05		
1794	1794	0	0	6.50804892521486e-05		
1795	1795	0	0	5.7742983110975e-05		
1796	1796	0	0	5.04054769698014e-05		
1797	1797	0	0	4.43440588531797e-05		
1798	1798	0	0	4.5556342476504e-05		
1799	1799	0	0	4.80447141243803e-05		
1800	1800	0	0	5.0469281371029e-05		
1801	1801	0	0	5.29576530189052e-05		
1802	1802	0	0	5.54460246667815e-05		
1803	1803	0	0	5.79343963146578e-05		
1804	1804	0	0	6.04227679625341e-05		
1805	1805	0	0	6.29111396104103e-05		
1806	1806	0	0	6.57185332644246e-05		
1807	1807	0	0	6.76326653012525e-05		
1808	1808	0	0	7.01848413503564e-05		
1809	1809	0	0	7.27370173994602e-05		
1810	1810	0	0	7.52891934485641e-05		
1811	1811	0	0	7.7841369497668e-05		
1812	1812	0	0	8.03935455467718e-05		
1813	1813	0	0	8.10315895590478e-05		
1814	1814	0	0	7.97555015344959e-05		
1815	1815	0	0	7.7841369497668e-05		
1816	1816	0		7.6565281473116e-05		
1817	1817	0	0	7.46511494362881e-05		
1818	1818	0	0	7.33750614117362e-05		
1819	1819	0	0	7.14609293749083e-05		
1820	1820	0	0	7.01848413503564e-05		
1821	1821	0	0	6.82707093135285e-05		
1822	1822	0	0	6.69946212889765e-05		
1823	1823	0	0	6.63565772767006e-05		
1824	1824	0	0	6.63565772767006e-05		
1825	1825	0	0	6.57185332644246e-05		
1826	1826	0	0	6.57185332644246e-05		
1827	1827	0		6.50804892521486e-05		
1828	1828	0	0	6.50804892521486e-05		
1829	1829	0		6.44424452398727e-05		
1830	1830	0	0	6.44424452398727e-05		
1831	1831	0	0	6.38044012275967e-05		
1832	1832	0	0	6.37405968263691e-05		
1833	1833	0	0	6.34853792214587e-05		
1834	1834	0	0	6.31663572153207e-05		
1835	1835	0	0	6.29111396104103e-05		
1836	1836	0	0	6.26559220054999e-05		
1837	1837	0	0	6.24007044005896e-05		
1838	1838	0	0	6.21454867956792e-05		
1839	1839	0	0	6.18902691907688e-05		
1840	1840	0	0	6.1698855987086e-05		
1841	1841	0	0	6.14436383821756e-05		
1842	1842	0	0	6.12522251784928e-05		
1843	1843	0	0	6.09970075735824e-05		
1844	1844	0	0	6.08055943698996e-05		
1845	1845	0	0	6.06141811662169e-05		
1846	1846	0	0	6.04227679625341e-05		
1847	1847	0	0	6.01037459563961e-05		
1848	1848	0	0	5.97209195490305e-05		
1849	1849	0	0	5.92104843392097e-05		
1850	1850	0	0	5.8700049129389e-05		
1851	1851	0	0	5.82534183207958e-05		
1852	1852	0	0	5.7742983110975e-05		
1853	1853	0	0	5.72963523023818e-05		
1854	1854	0	0	5.6785917092561e-05		
1855	1855	0	0	5.63392862839679e-05		
1856	1856	0	0	5.58926554753747e-05		
1857	1857	0	0	5.54460246667815e-05		
1858	1858	0	0	5.49993938581883e-05		
1859	1859	0	0	5.45527630495952e-05		
1860	1860	0	0	5.4106132241002e-05		
1861	1861	0	0	5.38509146360916e-05		
1862	1862	0	0.3	5.35956970311812e-05		
1863	1863	0	0	5.34042838274984e-05		
1864	1864	0	0	5.32128706238156e-05		
1865	1865	0	0	5.30214574201328e-05		
1866	1866	0	0	5.28300442164501e-05		
1867	1867	0	0	5.27024354139949e-05		
1868	1868	0	0	5.25110222103121e-05		
1869	1869	0	0	5.23834134078569e-05		
1870	1870	0	0	5.21920002041741e-05		
1871	1871	0	0	5.20643914017189e-05		
1872	1872	0	0	5.19367825992637e-05		
1873	1873	0	0	5.18091737968085e-05		
1874	1874	0	0	5.17453693955809e-05		
1875	1875	0	0	5.16177605931257e-05		
1876	1876	0	0	5.14901517906705e-05		
1877	1877	0	0	5.14263473894429e-05		
1878	1878	0	0	5.13625429882153e-05		
1879	1879	0	0	5.12349341857601e-05		
1880	1880	0		5.11711297845325e-05		
1881	1881	0	0	5.11711297845325e-05		
1882	1882	0	0	5.15539561918981e-05		
1883	1883	0	0	5.44889586483676e-05		
1884	1884	0	1	5.79343963146578e-05		
1885	1885	0	0	6.13160295797204e-05		
1886	1886	0	0	6.50804892521486e-05		
1887	1887	0	0	6.82707093135285e-05		
1888	1888	0	0	7.14609293749083e-05		
1889	1889	0	1.3	7.52891934485641e-05		
1890	1890	0	0	8.03935455467718e-05		
1891	1891	0	0	9.76207338782229e-05		
1892	1892	0	0	0.000117400098258778		
1893	1893	0	0	0.000136541418627057		
1894	1894	0	0	0.00015504469498306		
1895	1895	0	0	0.000165253399179475		
1896	1896	0	1.3	0.000178014279424995		
1897	1897	0	0	0.000189499071645962		
1898	1898	0	1	0.000200345819854654		
1899	1899	0	0	0.000200345819854654		
1900	1900	0	2.3	0.000198431687817826		
1901	1901	0	0	0.000193965379731894		
1902	1902	0	0	0.000184394719547754		
1903	1903	0	0	0.000165253399179475		
1904	1904	0	0	0.000152492518933956		
1905	1905	0	0	0.000153768606958508		
1906	1906	0	0	0.00015185447492168		
1907	1907	0	0.6	0.000164615355167199		
1908	1908	0	0	0.000214382788124725		
1909	1909	0	2.1	0.000253941516885835		
1910	1910	0	4.4	0.000322850270211639		
1911	1911	0	0.3	0.000365599219034129		
1912	1912	0	0	0.000380912275328752		
1913	1913	0	0	0.000424937312175794		
1914	1914	0	0	0.000417280784028482		
1915	1915	0	0	0.000415366651991654		
1916	1916	0	0	0.000443440588531797		
1917	1917	0	0	0.000542975454446848		
1918	1918	0		0.000714609293749083		
1919	1919	0		0.000944305138168431		
1920	1920	0	0	0.00120590318320158		
1921	1921	0		0.00137179462639333		
1922	1922	0	4.6	0.00144835990786644		
1923	1923	0	0	0.00147388166835748		
1924	1924	0	0	0.00142921858749817		
1925	1925	0	0	0.00144835990786644		
1926	1926	0	0	0.00164615355167199		
1927	1927	0	0	0.00184394719547754		
1928	1928	0	0.8	0.00181204499486375		
1929	1929	0	0.5	0.00170995795289959		
1930	1930	0	0	0.00162063179118096		
1931	1931	0	0	0.00153130562946232		
1932	1932	0	0	0.00142921858749817		
1933	1933	0	0	0.00130799022516573		
1934	1934	0	0	0.00119314230295606		
1935	1935	0	0	0.00111019658136018		
1936	1936	0	0	0.00106553350050086		
1937	1937	0	0	0.00105277262025535		
1938	1938	0		0.000995348659150508		
1939	1939	0	2.5	0.000912402937554632		
1940	1940	0	11.5	0.000874120296818074		
1941	1941	0	10.9	0.00096344645853671		
1942	1942	0	0	0.00108467482086914		
1943	1943	0	0	0.00118038142271054		
1944	1944	0	0	0.00110381614123742		
1945	1945	0	0	0.00096344645853671		
1946	1946	0	0	0.000835837656081517		
